name,categories,address,lat,lng,price,likes,photos,tips,rating,ratingSignals
مطعم وقت الشواية,Afghan Restaurant,"الرياض 14723, المملكة العربية السعودية",24.518983,46.656981,moderate,0.0,0,0,7.536018122325698,
ديوانية عكاظ,Café,"الرياض 14726, المملكة العربية السعودية",24.518511,46.669149,cheap,0.0,2,0,7.536018122325698,
شاهي جمر راعي الجمس,Coffee Shop,"الرياض 14726, المملكة العربية السعودية",24.519314,46.670041,cheap,0.0,0,0,7.536018122325698,
غدير الشام,Afghan Restaurant,المملكة العربية السعودية,24.51952,46.67166,moderate,0.0,0,0,7.536018122325698,
Dunkin',Donut Shop,"الرياض, المملكة العربية السعودية",24.52500124594793,46.43394380604386,cheap,29.0,90,1,8.9,32.0
Moroccan Taste (المذاق المغربي),Café,"Makkah Al Mukarramah Rd, الرياض, المملكة العربية السعودية",24.52493729305084,46.43353856458267,cheap,22.0,13,2,8.6,24.0
كرك جدي,Café,"الرياض, المملكة العربية السعودية",24.525067850036105,46.43420344582057,cheap,24.0,27,1,7.3,33.0
دانكن دونت طريق المزاحميه,"Donut Shop, Coffee Shop","الرياض, المملكة العربية السعودية",24.524959,46.433641,cheap,0.0,6,0,8.3,0.0
دانكن الدزيه,Coffee Shop,"الرياض 13797, المملكة العربية السعودية",24.524787,46.433555,cheap,0.0,8,0,7.536018122325698,
بارن كافيه   BARNCAFÉ,Café,"الرياض, المملكة العربية السعودية",24.525006,46.433693,cheap,6.0,12,0,7.536018122325698,
بيالة وفنجال للقهوة العربية,"Café, Coffee Shop","الرياض 13797, المملكة العربية السعودية",24.525237,46.434477,cheap,0.0,3,0,7.536018122325698,
Nestro,Coffee Shop,"الرياض 13797, المملكة العربية السعودية",24.523778,46.430222,cheap,0.0,0,0,7.536018122325698,
سيارة آيس كريم,Food Truck,"Second Ring Rd (Second Ring Rd), الرياض, المملكة العربية السعودية",24.79344388133637,46.87824116776024,cheap,1.0,13,0,7.536018122325698,
Starbucks,Coffee Shop,"الرياض 14723, المملكة العربية السعودية",24.522543,46.648867,cheap,1.0,16,0,8.1,1.0
مطعم البخاري,Middle Eastern Restaurant,"الرياض 14723, المملكة العربية السعودية",24.524101,46.660976,moderate,0.0,1,0,7.536018122325698,
بهارات الأولين,Middle Eastern Restaurant,"الرياض, المملكة العربية السعودية",24.525009,46.68766,moderate,8.0,10,6,7.8,9.0
Perfect Cooker,Asian Restaurant,"Along Aramco road.  Corner Intersection, Industrial City 2, المملكة العربية السعودية",24.52047144135105,46.8583871757124,moderate,1.0,0,1,7.536018122325698,
Koud Restautant,Middle Eastern Restaurant,المملكة العربية السعودية,24.52281119716068,46.8780281006726,moderate,0.0,0,1,7.536018122325698,
city food court,Food Court,المملكة العربية السعودية,24.522197358761648,46.907098746788,Cheap,0.0,1,1,7.536018122325698,
Embratoor AlShawerma (امبراطور الشاورما),Shawarma Place,"الرياض, المملكة العربية السعودية",24.525684,46.435516,Cheap,1.0,6,0,7.536018122325698,
Falafel Pie (فطيرة الفلافل),Falafel Restaurant,"طريق جدة, الرياض, المملكة العربية السعودية",24.525746,46.435683,cheap,1.0,4,0,7.536018122325698,
مطعم بخاري,"Afghan Restaurant, Middle Eastern Restaurant","الرياض 14966, المملكة العربية السعودية",24.530273,46.63415300000001,moderate,0.0,1,0,7.536018122325698,
بوفيه التاج,Fast Food Restaurant,"الرياض 14966, المملكة العربية السعودية",24.52712600000001,46.63751,cheap,0.0,0,0,7.536018122325698,
