name,categories,address,lat,lng,price,likes,photos,tips,rating,ratingSignals
بهارات الأولين,Middle Eastern Restaurant,"الرياض, المملكة العربية السعودية",24.525009,46.68766,moderate,8,10,6,7.8,9
‏سيارة الأيسكريم,"Food Truck, Ice Cream Shop","الرياض, المملكة العربية السعودية",24.5281715462542,46.6925664243106,cheap,0,1,0,7.5360181223257,
Pizza Hut (بيتزا هت),Pizza Place,"حي الشفاء (طريق ديراب), الرياض, المملكة العربية السعودية",24.5307584549524,46.6871275788889,cheap,4,4,0,7.5360181223257,
Croissant Cafe || كروسان كافيه,Café,المملكة العربية السعودية,24.5303413367021,46.6885002065521,cheap,0,3,0,7.5360181223257,
بريڤي لاونج,Café,"الرياض, المملكة العربية السعودية",24.528991,46.729956,cheap,2,12,1,7.5360181223257,
فوال الطائف,Bakery,"الرياض 14725, المملكة العربية السعودية",24.531176,46.686137,cheap,0,0,0,7.5360181223257,
Starbucks,Coffee Shop,"الرياض, المملكة العربية السعودية",24.5355892899977,46.688636999689,cheap,4,12,0,8,4
ماكدونالدز,American Restaurant,"الرياض 14725, المملكة العربية السعودية",24.53288,46.69714,moderate,3,11,1,7.5360181223257,
Dunkin Donuts (دانكن دونتس),Donut Shop,"الشفا بلازا (شارع الامام مسلم), الرياض 14725, المملكة العربية السعودية",24.5353517625924,46.693243249034,cheap,17,57,1,8.2,20
المشوي العنابي,Middle Eastern Restaurant,"الرياض 14725, المملكة العربية السعودية",24.535543,46.692831,moderate,6,30,3,7.5360181223257,
4 Guys,Burger Joint,"الرياض 14725, المملكة العربية السعودية",24.53075,46.695118,cheap,1,13,0,7.5360181223257,
وقت العصير,Snack Place,"الرياض 14725, المملكة العربية السعودية",24.535141,46.693363,cheap,0,3,0,7.5360181223257,
The Sandwich Co. (ذا ساندوتش كومبني),Burger Joint,"الرياض -حي الشفاء, الرياض 14725, المملكة العربية السعودية",24.5353551463074,46.6930463535249,cheap,12,18,2,7.8,15
Al Ennabi Grill,Middle Eastern Restaurant,"Al Shifa Plaza, الرياض 14725, المملكة العربية السعودية",24.535516,46.692814,moderate,0,0,0,7.5360181223257,
شاورمر,"Shawarma Place, Fast Food Restaurant, Sandwich Place","الرياض 14725, المملكة العربية السعودية",24.531567,46.695152,cheap,2,3,1,6.6,4
سيارة ايسكريم 2020,Ice Cream Shop,"Alkhaleefa Almamoon street (Ash Shifa), الرياض 14725, المملكة العربية السعودية",24.532275,46.695833,cheap,4,7,0,7.5360181223257,
دومينوز بيتزا,Pizza Place,"حي بدر (شارع الامام مسلم), الرياض 14725, المملكة العربية السعودية",24.53551,46.692989,cheap,1,3,0,7.5360181223257,
برجر كنج Burger King,Burger Joint,"الشفا بلازا (شارع الامام مسلم), الرياض 14725, المملكة العربية السعودية",24.535664,46.692673,cheap,6,0,0,7.5360181223257,
أعالي الأمواج للمأكولات البحرية,Seafood Restaurant,المملكة العربية السعودية,24.534408,46.697308,expensive,1,0,0,7.5360181223257,
